id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
40950100,0.005,0.005,0.99,0.01,0.01,0.98,0.0,0.1,0.9
40950100,0.005,0.005,0.99,0.083,0.083,0.833,0.02,0.067,0.913
40950100,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.1,0.9
40950100,0.005,0.005,0.99,0.01,0.01,0.98,0.02,0.067,0.913
40950100,0.005,0.005,0.99,0.01,0.01,0.98,0.0,0.1,0.9
40950100,0.005,0.005,0.99,0.083,0.083,0.833,0.02,0.067,0.913
40950100,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.1,0.9
83301603,0.3,0.3,0.4,0.208,0.208,0.583,0.167,0.222,0.612
83301603,0.3,0.3,0.4,0.208,0.208,0.583,0.11,0.78,0.11
83301603,0.3,0.3,0.4,0.194,0.612,0.194,0.167,0.222,0.612
83301603,0.3,0.3,0.4,0.194,0.612,0.194,0.11,0.78,0.11
83301603,0.005,0.99,0.005,0.208,0.208,0.583,0.167,0.222,0.612
83301603,0.005,0.99,0.005,0.208,0.208,0.583,0.11,0.78,0.11
83301603,0.005,0.99,0.005,0.194,0.612,0.194,0.167,0.222,0.612
83301603,0.005,0.99,0.005,0.194,0.612,0.194,0.11,0.78,0.11
