Growth,Loss,Stable,id
0.223,0.553,0.223,7958363
0.0,0.0,1.0,71969357
0.0,0.25,0.75,60481508
0.277,0.391,0.333,56114493
0.223,0.289,0.487,66193726
0.287,0.31,0.403,39699194
0.0,1.0,0.0,2024909
0.0,1.0,0.0,56527992
0.167,0.292,0.542,96397323
0.083,0.233,0.683,54020410
0.11,0.445,0.445,30183405
0.0,0.14,0.86,5451556
0.0,1.0,0.0,80552847
0.11,0.278,0.612,21938453
0.277,0.413,0.311,55666943
0.25,0.3,0.45,78809525
0.333,0.333,0.333,76897553
0.0,0.0,1.0,64899219
0.223,0.444,0.332,11122783
0.223,0.243,0.534,13664861
0.167,0.602,0.231,38290846
0.167,0.452,0.382,7581613
0.167,0.237,0.597,7958363
0.333,0.333,0.333,28568145
0.167,0.217,0.617,93109246
0.333,0.333,0.333,34307115
0.167,0.627,0.207,73000893
0.0,0.0,1.0,15484062
0.333,0.333,0.333,2024909
0.0,0.0,1.0,96016585
0.333,0.333,0.333,52405413
0.0,0.0,1.0,56663273
0.333,0.333,0.333,46942368
0.167,0.502,0.332,92137362
0.333,0.333,0.333,80552847
0.0,0.0,1.0,93137713
0.067,0.147,0.787,80774023
0.333,0.333,0.333,38454164
0.223,0.223,0.553,71295829
0.0,0.25,0.75,64899219
0.0,0.6,0.4,67593577
0.223,0.266,0.511,67869475
0.0,0.0,1.0,35006114
0.0,1.0,0.0,1589145
0.0,0.0,1.0,71969357
0.223,0.256,0.52,28568145
0.0,0.0,1.0,26295944
0.0,0.0,1.0,148142
0.0,0.0,1.0,75437634
0.0,1.0,0.0,10351455
0.0,0.0,1.0,56527992
0.0,0.0,1.0,96016585
0.0,0.0,1.0,80220413
0.167,0.167,0.667,40107720
0.0,0.25,0.75,26594139
0.277,0.311,0.413,27515072
0.0,0.0,1.0,21938453
0.167,0.167,0.667,93137713
0.223,0.279,0.497,67290870
0.0,0.0,1.0,61886939
0.333,0.333,0.333,86800950
0.167,0.542,0.292,11122783
0.0,0.9,0.1,67593577
0.333,0.333,0.333,48296247
0.167,0.217,0.617,20713890
0.333,0.333,0.333,27798249
0.167,0.217,0.617,60481508
0.333,0.333,0.333,93109246
0.0,0.03,0.97,26295944
0.167,0.617,0.217,46215217
0.333,0.333,0.333,84589977
0.167,0.192,0.642,78721587
0.333,0.333,0.333,96397323
0.333,0.333,0.333,52405413
0.333,0.333,0.333,80220413
0.333,0.333,0.333,20880708
0.167,0.217,0.617,79047989
0.167,0.192,0.642,91747824
0.167,0.222,0.612,23577275
0.08,0.0,0.92,51295323
0.167,0.237,0.597,83656683
0.167,0.602,0.231,15498542
0.0,0.9,0.1,60429406
0.333,0.333,0.333,13664861
0.167,0.542,0.292,67869475
0.333,0.333,0.333,48296247
0.083,0.833,0.083,65254217
0.0,0.25,0.75,97425135
0.333,0.333,0.333,56114493
0.0,0.1,0.9,34307115
0.0,0.1,0.9,148142
0.0,1.0,0.0,46215217
0.0,0.4,0.6,96011716
0.0,0.2,0.8,27211901
0.0,0.0,1.0,54020410
0.0,0.0,1.0,56663273
0.167,0.467,0.367,66622881
0.083,0.331,0.586,40107720
0.333,0.333,0.333,20880708
0.333,0.333,0.333,8835255
0.333,0.333,0.333,94638951
0.083,0.121,0.796,40027003
0.0,0.0,1.0,32007075
0.167,0.642,0.192,23179987
0.0,0.0,1.0,19204019
0.0,0.0,1.0,75533724
0.0,1.0,0.0,31925560
0.0,1.0,0.0,95915841
0.0,0.0,1.0,6355755
0.333,0.333,0.333,96506508
0.0,0.0,1.0,75117306
0.333,0.333,0.333,27105696
0.167,0.642,0.192,3256595
0.333,0.333,0.333,91153471
0.0,0.0,1.0,45931926
0.167,0.167,0.667,56092979
0.127,0.127,0.747,84235564
0.0,0.0,1.0,20196685
0.0,0.0,1.0,45674038
0.0,1.0,0.0,51013065
0.11,0.144,0.746,22551424
0.333,0.333,0.333,54499254
0.333,0.333,0.333,2721769
0.167,0.417,0.417,18250573
0.223,0.223,0.553,19204019
0.223,0.289,0.487,47448092
0.0,0.0,1.0,78657650
0.11,0.177,0.713,58835211
0.11,0.184,0.706,14576450
0.057,0.057,0.887,75117306
0.0,0.0,1.0,79045706
0.287,0.306,0.407,29085874
0.067,0.707,0.227,74338859
0.333,0.333,0.333,48015767
0.25,0.25,0.5,29158350
0.11,0.177,0.713,52254958
0.083,0.143,0.773,37193289
0.083,0.136,0.781,55400962
0.0,0.0,1.0,80122503
0.083,0.143,0.773,49570556
0.083,0.293,0.623,91186758
0.047,0.157,0.796,22551424
0.0,0.0,1.0,87950922
0.0,0.06,0.94,74809158
0.167,0.522,0.312,73698383
0.0,0.92,0.08,31925560
0.11,0.15,0.74,47448092
0.0,0.0,1.0,70550509
0.0,0.0,1.0,34403085
0.25,0.275,0.475,38996901
0.333,0.333,0.333,63049873
